Year,Period,Unemployment,Employment,Not in the Work Force
2015,M01,8885,148145,92694
2015,M02,8599,148045,93256
2015,M03,8515,148128,93437
2015,M04,8550,148511,93205
2015,M05,8834,148817,92804
2015,M06,8247,148816,93601
2015,M07,8167,148830,93880
2015,M08,7992,149181,93924
2015,M09,7907,148826,94592
2015,M10,7922,149246,94374
2015,M11,8000,149463,94284
2015,M12,7907,150128,93901
2016,M01,7627,150653,94117
2016,M02,7702,150939,93937
2016,M03,7961,151218,93589
2016,M04,8067,151074,93828
2016,M05,7652,151132,94390
2016,M06,7744,151223,94430
2016,M07,7641,151554,94426
2016,M08,7784,151779,94292
2016,M09,7953,151761,94377
2016,M10,7811,151793,94716
2016,M11,7553,151954,95034
2016,M12,7521,152157,95064
2017,M01,7468,152152,94462
2017,M02,7379,152480,94386
2017,M03,7073,153065,94277
2017,M04,7089,153255,94243
2017,M05,7000,153069,94699
2017,M06,6873,153318,94766
2017,M07,6892,153569,94689
2017,M08,7082,153503,94771
2017,M09,6854,154286,94423
2017,M10,6700,153609,95457
2017,M11,6774,153805,95370
2017,M12,6632,153904,95574
2018,M01,6489,154425,95866
2018,M02,6581,155197,95156
2018,M03,6472,155214,95411
2018,M04,6459,155312,95501
2018,M05,6196,155652,95606
2018,M06,6447,155762,95433
2018,M07,6195,156146,95502
2018,M08,6156,155504,96406
2018,M09,6073,156015,96202
2018,M10,6211,156391,95913
2018,M11,6115,156721,95871
2018,M12,6389,156817,95682
2019,M01,6475,156487,95277
2019,M02,6136,156863,95393
2019,M03,6202,156701,95633
2019,M04,5961,156625,96107
2019,M05,5930,156821,96110
2019,M06,5935,157232,95870
2019,M07,6061,157529,95635
2019,M08,5945,157829,95658
2019,M09,5753,158339,95546
2019,M10,5871,158545,95429
2019,M11,5868,158629,95524
2019,M12,5853,158845,95483
2020,M01,5869,158508,95124
2020,M02,5753,158714,95161
2020,M03,7206,155353,97200
2020,M04,23084,133185,103627
2020,M05,20929,137173,101945
2020,M06,17652,142342,100210
2020,M07,16352,143779,100241
2020,M08,13461,147245,99852
2020,M09,12554,147620,100569
2020,M10,11072,149931,99922
2020,M11,10694,149934,100456
2020,M12,10770,149975,100485
2021,M01,10236,149852,100763
2021,M02,9995,150189,100734
2021,M03,9756,150644,100603
2021,M04,9762,151081,100260
2021,M05,9266,151535,100410
2021,M06,9462,151734,100142
2021,M07,8731,152773,99966
2021,M08,8276,153250,100084
2021,M09,7652,153843,100271
2021,M10,7279,154475,100154
2021,M11,6751,155530,99747
2021,M12,6398,156099,99639
2022,M01,6512,157115,99576
2022,M02,6301,157598,99425
2022,M03,6014,158206,99224
2022,M04,6002,157891,99666
2022,M05,5983,158378,99317
2022,M06,5951,158094,99789
2022,M07,5768,158258,99985
2022,M08,5919,158735,99530
2022,M09,5792,158810,99753
2022,M10,5964,158684,99888
2022,M11,5943,158507,100258
2022,M12,5766,159259,99819
2023,M01,5747,160217,99998
2023,M02,5962,160395,99754
2023,M03,5839,160812,99621
2023,M04,5751,160974,99719
2023,M05,6089,160796,99733
2023,M06,5958,160979,99864
2023,M07,5920,161183,99899
2023,M08,6284,161475,99455
2023,M09,6326,161442,99660
2023,M10,6479,161211,99952
2023,M11,6254,161886,99682
2023,M12,6315,161124,100552
2024,M01,6149,161190,100201
2024,M02,6462,161013,100237
2024,M03,6497,161425,99963
2024,M04,6492,161495,100078
2024,M05,6635,161164,100449
2024,M06,6849,161155,100434
2024,M07,7097,161219,100329
2024,M08,7071,161425,100360
2024,M09,6901,161802,100377
2024,M10,6972,161456,100861
2024,M11,7121,161183,101159
2024,M12,6886,161661,101091
2025,M01,6849,163895,101941
2025,M02,7052,163307,102487
2025,M03,7083,163508,102431
